theta1,theta2,w1,w2
0.9948,0.4363,0,0
0.9942953958,0.4365209224,-0.1009254453,0.0442005654
0.992781307,0.437184654,-0.2019060773,0.0885938298
0.990256909,0.4382940766,-0.3029961955,0.1333701574
0.9867208429,0.4398539537,-0.404248245,0.1787151244
0.9821712388,0.4418708698,-0.5057116847,0.2248068243
0.9766057533,0.4443531399,-0.6074316007,0.2718127986
0.9700216207,0.4473106874,-0.7094469633,0.3198864477
0.9624157254,0.4507548812,-0.8117884161,0.3691627575
0.9537846983,0.4546983272,-0.914475466,0.4197531599
0.9441250453,0.4591546024,-1.0175129356,0.4717393268
0.9334333156,0.4641379211,-1.1208865221,0.5251656822
0.9217063197,0.4696627188,-1.2245573079,0.5800304191
0.9089414073,0.4757431383,-1.3284550784,0.6362748285
0.8951368196,0.4823923992,-1.4324703434,0.6937708095
0.8802921273,0.4896220345,-1.536445037,0.7523065534
0.864408768,0.4974409744,-1.6401620158,0.8115706071
0.8474906932,0.5058544659,-1.7433336971,0.8711348487
0.8295451309,0.5148628198,-1.8455905047,0.9304373902
0.8105834597,0.5244599929,-1.9464702277,0.9887670545
0.7906221791,0.5346320336,-2.045409922,1.0452518378
0.7696839383,0.5453554437,-2.1417425332,1.0988545652
0.7477985652,0.5565955498,-2.2347008596,1.1483795755
0.7250040065,0.5683050123,-2.3234315809,1.1924944263
0.7013470688,0.5804226419,-2.4070215963,1.2297699066
0.6768838288,0.5928727143,-2.4845375947,1.2587397329
0.6516795869,0.605564974,-2.5550775589,1.2779780836
0.6258082618,0.6183954794,-2.6178300357,1.2861889735
0.5993511812,0.6312483608,-2.6721341745,1.2822973466
0.5723953063,0.6439984445,-2.7175317214,1.2655290908
0.5450310115,0.6565145674,-2.7538022797,1.2354672742
0.5173496244,0.6686632947,-2.7809755874,1.1920753292
0.4894409676,0.6803126878,-2.7993188087,1.135683962
0.4613911427,0.6913357726,-2.8093016431,1.0669454652
0.4332807478,0.7016134244,-2.8115459109,0.9867647101
0.4051836405,0.711036497,-2.8067681503,0.8962188964
0.3771662762,0.7195071427,-2.7957234322,0.7964777932
0.3492875745,0.7269393758,-2.7791566274,0.6887335022
0.321599219,0.7332590054,-2.7577646794,0.574145005
0.2941462761,0.7384030955,-2.732170886,0.4537991446
0.2669680118,0.7423191136,-2.7029103064,0.3286869793
0.2400988091,0.744963909,-2.6704243282,0.1996928735
0.2135691014,0.7463026323,-2.6350620552,0.0675931037
0.1874062692,0.7463076754,-2.597086278,-0.0669391336
0.1616354612,0.7449576823,-2.5566821538,-0.2033249444
0.1362803212,0.7422366583,-2.5139671702,-0.3410692069
0.111363614,0.7381331862,-2.4690013968,-0.4797497039
0.086907749,0.7326397497,-2.4217973873,-0.6190068334
0.062935209,0.7257521545,-2.3723293647,-0.7585344185
0.0394688915,0.7174690342,-2.3205415156,-0.8980718635
0.0165323711,0.7077914276,-2.2663553431,-1.0373977125
-0.0058499063,0.6967224145,-2.2096761085,-1.1763245488
-0.0276524899,0.6842667951,-2.1503984285,-1.3146951045
-0.0488488425,0.6704308038,-2.0884111218,-1.452379409
-0.0694113035,0.6552218469,-2.0236014037,-1.5892727898
-0.089311092,0.6386482569,-1.9558585293,-1.725294529
-0.1085183433,0.6207190574,-1.8850769881,-1.8603869782
-0.1270021758,0.6014437356,-1.8111593548,-1.9945149288
-0.144730785,0.5808320214,-1.7340189078,-2.1276650311
-0.1616715631,0.5588936715,-1.6535821416,-2.2598450402
-0.1777912441,0.5356382645,-1.5697913195,-2.3910826434
-0.1930560745,0.5110750095,-1.4826072461,-2.5214235943
-0.2074320153,0.4852125797,-1.3920124801,-2.6509288234
-0.2208849772,0.4580589799,-1.2980152662,-2.7796701325
-0.2333811024,0.4296214677,-1.2006545325,-2.9077239902
-0.2448871021,0.3999065475,-1.1000063855,-3.0351628367
-0.2553706688,0.3689200677,-0.9961926262,-3.1620431804
-0.2648009868,0.3366674557,-0.8893919065,-3.2883896301
-0.2731493699,0.3031541374,-0.7798542181,-3.4141738922
-0.2803900639,0.2683861962,-0.6679194212,-3.5392877092
-0.286501257,0.2323713368,-0.5540404133,-3.6635088202
-0.2914663465,0.1951202261,-0.4388111969,-3.7864594283
-0.2952755094,0.156648287,-0.3229993805,-3.9075575734
-0.297927613,0.1169780055,-0.2075813439,-4.0259635093
-0.2994324759,0.0761417796,-0.093776215,-4.1405259599
-0.2998134363,0.0341852728,0.0169281252,-4.2497371079
-0.2991100982,-0.0088288825,0.1227673139,-4.3517100404
-0.2973810091,-0.0528173424,0.221724532,-4.4441969196
-0.2947058767,-0.0976727782,0.3116007379,-4.5246678602
-0.291186806,-0.1432617643,0.3901416958,-4.5904657755
-0.2869479754,-0.1894246059,0.45522136,-4.6390380223
-0.2821332673,-0.2359777828,0.5050631996,-4.6682216566
-0.2769016466,-0.2827193138,0.5384611117,-4.6765320845
-0.2714205444,-0.3294367456,0.5549492951,-4.6633878682
-0.2658579947,-0.3759168051,0.5548753881,-4.6292104371
-0.2603746279,-0.4219552831,0.539355357,-4.5753694629
-0.2551166672,-0.4673656497,0.5101227878,-4.5039902498
-0.2502107971,-0.5119852699,0.4693135352,-4.4176773152
-0.2457612922,-0.5556787217,0.4192371878,-4.3192222419
-0.2418493106,-0.5983383599,0.3621784767,-4.2113525181
-0.2385339147,-0.639882715,0.3002527877,-4.0965525809
-0.235854239,-0.6802534945,0.235320605,-3.9769625023
-0.2338322506,-0.7194119145,0.1689525054,-3.8543423605
-0.2324756658,-0.7573349229,0.1024305912,-3.7300830557
-0.2317807291,-0.7940116833,0.0367721434,-3.6052445175
-0.231734695,-0.8294405122,-0.0272359328,-3.4806062377
-0.2323179447,-0.8636263396,-0.0889997273,-3.3567199579
-0.2335057356,-0.8965786803,-0.1480826979,-3.2339586148
-0.2352696127,-0.9283100644,-0.2041741483,-3.1125587513
-0.2375785307,-0.9588348548,-0.2570626312,-2.9926555864
